Year,Accidents ,Fatalities,World air traffic (MM departures),Flights per accident,Fatalaties per accident,Fatal accidents per mln flights,NumAcc5YrAvg,AccPrM5YrAvg
1970,47,1400,9.4483,201028,29.8,4.97,45.4,
1971,38,1429,9.5045,250118,37.6,4,47.4,
1972,56,2432,9.49315,169521,43.4,5.9,47.4,4.99
1973,50,2225,9.7649,195298,44.5,5.12,45.2,4.78
1974,46,2068,9.2549,201193,45,4.97,45.8,4.83
1975,36,1124,9.2447,256797,31.2,3.89,40.6,4.26
1976,41,1658,9.5629,233241,40.4,4.29,37.8,3.94
1977,30,1627,9.9159,330530,54.2,3.03,36.8,3.72
1978,36,1203,10.1837,282881,33.4,3.54,34.8,3.43
1979,41,1683,10.6534,259839,41,3.85,32,3.1
1980,26,1305,10.7049,411727,50.2,2.43,31.6,3.03
1981,27,823,10.2701,380374,30.5,2.63,30.2,2.86
1982,28,1116,10.3358,369136,39.9,2.71,26.2,2.46
1983,29,1334,10.7587,370990,46,2.7,27,2.48
1984,21,591,11.404,543048,28.1,1.84,28,2.46
1985,30,2391,11.8979,396597,79.7,2.52,28.6,2.38
1986,32,878,12.677,396156,27.4,2.52,30.8,2.42
1987,31,1272,13.2448,427252,41,2.34,34.6,2.62
1988,40,1648,13.8809,347023,41.2,2.88,34,2.49
1989,40,1704,14.0211,350528,42.6,2.85,33.2,2.37
1990,27,680,14.5839,540144,25.2,1.85,33.6,2.35
1991,28,1029,14.3609,512889,36.8,1.95,32.2,2.18
1992,33,1366,14.9188,452085,41.4,2.21,30.8,2
1993,33,1162,15.9862,484430,35.2,2.06,32.4,2.02
1994,33,1342,17.2189,521785,40.7,1.92,32.4,1.92
1995,35,1136,18.0082,514520,32.5,1.94,32,1.8
1996,28,1769,18.9536,676914,63.2,1.48,30.6,1.65
1997,31,1209,19.5466,630535,39,1.59,29.4,1.53
1998,26,1221,19.6532,755892,47,1.32,27.8,1.38
1999,27,618,20.7366,768022,22.9,1.3,28,1.35
2000,27,1116,22.008658,815135,41.3,1.23,26,1.23
2001,29,1104,22.26422,767732,38.1,1.3,24,1.12
2002,21,1017,20.817389,991304,48.4,1.01,21.6,0.98
2003,16,633,21.282617,1330164,39.6,0.75,21,0.94
2004,15,485,23.752616,1583508,32.3,0.63,18.6,0.81
2005,24,1015,24.228965,1009540,42.3,0.99,18,0.75
2006,17,852,24.843166,1461363,50.1,0.68,18,0.72
2007,18,694,26.016011,1445334,38.6,0.69,17.4,0.69
2008,16,523,25.498093,1593631,32.7,0.63,16.4,0.62
2009,12,677,26.120525,2176710,56.4,0.46,17.6,0.63
2010,19,795,29.637587,1559873,41.8,0.64,16,0.56
2011,23,473,30.564579,1328895,20.6,0.75,15.8,0.53
2012,10,395,30.771268,3077127,39.5,0.32,15,0.49
2013,15,224,31.464398,2097627,14.9,0.48,12.6,0.4
2014,8,925,32.339781,4042473,115.6,0.25,10.2,0.32
2015,7,493,33.362839,4766120,70.4,0.21,9.2,0.28
2016,11,288,34.687965,3153451,26.2,0.32,8.4,0.24
2017,5,31,35.703836,7140767,6.2,0.14,9.6,0.27
2018,11,542,36.828232,3348021,49.3,0.3,9,0.27
2019,14,269,37.461913,2675851,19.2,0.37,7.6,
2020,4,297,19.11,4777500,74.3,0.21,,
